ef_search	Query Time (microsecs)	Accuracy
10	198.334	0.968580
20	197.079	0.968580
40	196.175	0.968580
80	196.728	0.968580
120	225.278	0.977680
200	333.672	0.991320
400	578.337	0.997720
600	807.501	0.998710
800	1029.950	0.999170
