clusters_to_search	Query Time (microsecs)	Accuracy
4	96.030	0.502360
8	115.204	0.658060
16	147.745	0.798090
32	218.646	0.904400
64	348.134	0.966170
128	591.792	0.990080
256	1055.179	0.995070
512	1985.474	0.995560
1024	4069.697	0.995550
