clusters_to_search	Query Time (microsecs)	Accuracy
2	66.612	0.509170
4	69.752	0.708590
8	73.920	0.870340
16	82.894	0.956090
32	100.056	0.988290
64	134.822	0.996630
96	171.188	0.997780
128	207.278	0.998040
256	340.018	0.998140
