ef_search	Query Time (microsecs)	Accuracy
10	937.307	0.764190
20	935.449	0.764190
40	934.737	0.764190
80	933.177	0.764190
120	1090.048	0.797400
200	1698.849	0.872110
400	3023.031	0.939540
600	4251.256	0.962790
800	5399.435	0.973540
