ef_search	Query Time (microsecs)	Accuracy
10	209.156	0.914200
20	208.072	0.914200
40	207.629	0.914200
80	207.249	0.914200
120	241.410	0.934710
200	374.898	0.972890
400	688.635	0.993430
600	985.739	0.997520
800	1267.437	0.998880
