clusters_to_search	Query Time (microsecs)	Accuracy
4	644.387	0.699169
8	714.776	0.777794
16	772.634	0.836390
32	963.574	0.880630
64	1349.473	0.912479
128	2109.463	0.933037
256	5518.463	0.945129
512	10207.578	0.951404
1024	13488.677	0.953610
