ef_search	Query Time (microsecs)	Accuracy
10	191.034	0.461200
20	286.761	0.598900
40	458.034	0.733900
80	811.544	0.841300
120	1087.433	0.892900
200	1743.331	0.935300
400	3093.708	0.970400
600	4327.584	0.982100
800	5545.589	0.986100
