Subsection	Query Time (microsecs)	Accuracy	Memory Usage (Bytes)	Building Time (secs)
efs_10	48	71.503	611397128	0
efs_20	74	84.486	611397128	0
efs_40	121	93.084	611397128	0
efs_80	211	97.661	611397128	0
efs_120	297	98.856	611397128	0
efs_200	463	99.52	611397128	0
efs_400	845	99.827	611397128	0
efs_600	1198	99.865	611397128	0
efs_800	1537	99.868	611397128	0
