clusters_to_search	Query Time (microsecs)	Accuracy
4	302.504	0.415600
8	326.653	0.569900
16	369.173	0.712900
32	449.624	0.841800
64	601.007	0.929600
128	900.646	0.974500
256	1474.446	0.989500
512	2599.145	0.992500
1024	4969.211	0.992600
