Subsection	Query Time (microsecs)	Accuracy	Memory Usage (Bytes)	Building Time (secs)
efs_10	55	68.173	163528224	467
efs_20	82	78.189	163528224	467
efs_40	131	84.088	163528224	467
efs_80	219	86.675	163528224	467
efs_120	308	87.249	163528224	467
efs_200	474	87.557	163528224	467
efs_400	857	87.694	163528224	467
efs_600	1213	87.705	163528224	467
efs_800	1568	87.712	163528224	467
