clusters_to_search	Query Time (microsecs)	Accuracy
4	96.826	0.637220
8	113.449	0.780220
16	149.226	0.889920
32	224.839	0.956880
64	363.959	0.987030
128	612.326	0.996840
256	1105.416	0.998640
512	2079.407	0.999020
1024	4184.403	0.998850
