ef_search	Query Time (microsecs)	Accuracy
10	41.339	0.865750
20	60.563	0.949030
40	98.353	0.983780
80	160.211	0.993910
120	219.939	0.997020
200	325.082	0.998390
400	566.674	0.999270
600	799.570	0.999540
800	1016.014	0.999640
