Subsection	Query Time (microsecs)	Accuracy	Memory Usage (Bytes)	Building Time (secs)
efs_10	183	83.054	28200285936	0
efs_20	252	90.838	28200285936	0
efs_40	370	95.0	28200285936	0
efs_80	593	97.158	28200285936	0
efs_120	803	97.908	28200285936	0
efs_200	1256	98.6	28200285936	0
efs_400	2163	99.228	28200285936	0
efs_600	3138	99.418	28200285936	0
efs_800	4107	99.51	28200285936	0
