Subsection	Query Time (microsecs)	Accuracy	Memory Usage (Bytes)	Building Time (secs)
efs_10	243	70.841	2938316172	23740
efs_20	341	76.92	2938316172	23740
efs_40	510	80.023	2938316172	23740
efs_80	827	81.51	2938316172	23740
efs_120	1116	82.095	2938316172	23740
efs_200	1761	82.507	2938316172	23740
efs_400	2917	82.759	2938316172	23740
efs_600	4231	82.89	2938316172	23740
efs_800	5560	82.938	2938316172	23740
