clusters_to_search	Query Time (microsecs)	Accuracy
2	59.154	0.709340
4	63.663	0.875030
8	68.333	0.961660
16	77.605	0.990170
32	95.036	0.997660
64	126.971	0.999620
96	160.395	0.999870
128	194.684	0.999930
256	319.015	0.999990
