Subsection	Query Time (microsecs)	Accuracy	Memory Usage (Bytes)	Building Time (secs)
efs_10	213	82.209	28401979956	0
efs_20	301	90.56	28401979956	0
efs_40	452	95.019	28401979956	0
efs_80	741	97.262	28401979956	0
efs_120	1009	98.043	28401979956	0
efs_200	1601	98.65	28401979956	0
efs_400	2716	99.195	28401979956	0
efs_600	3938	99.391	28401979956	0
efs_800	5145	99.468	28401979956	0
