ef_search	Query Time (microsecs)	Accuracy
10	139.524	0.823467
20	191.310	0.898266
40	291.337	0.940473
80	482.954	0.964069
120	671.947	0.973782
200	1047.643	0.982092
400	1987.857	0.989441
600	2923.668	0.991719
800	3859.723	0.993840
