Subsection	Query Time (microsecs)	Accuracy	Memory Usage (Bytes)	Building Time (secs)
efs_10	44	85.389	191814016	0
efs_20	65	93.932	191814016	0
efs_40	102	97.494	191814016	0
efs_80	168	98.593	191814016	0
efs_120	226	98.84	191814016	0
efs_200	339	98.979	191814016	0
efs_400	587	99.067	191814016	0
efs_600	821	99.088	191814016	0
efs_800	1043	99.098	191814016	0
