Subsection	Query Time (microsecs)	Accuracy	Memory Usage (Bytes)	Building Time (secs)
efs_10	233	45.744	2736622152	20027
efs_20	321	50.069	2736622152	20027
efs_40	462	52.256	2736622152	20027
efs_80	721	53.387	2736622152	20027
efs_120	964	53.722	2736622152	20027
efs_200	1501	53.943	2736622152	20027
efs_400	2511	54.087	2736622152	20027
efs_600	3635	54.136	2736622152	20027
efs_800	4758	54.163	2736622152	20027
