ef_search	Query Time (microsecs)	Accuracy
10	40.379	0.705790
20	56.463	0.834600
40	97.812	0.924110
80	169.892	0.972460
120	236.316	0.986730
200	370.309	0.994840
400	683.929	0.998590
600	985.170	0.999060
800	1271.426	0.999110
