clusters_to_search	Query Time (microsecs)	Accuracy
4	692.245	0.520630
8	754.182	0.622966
16	862.570	0.706390
32	1062.160	0.767880
64	1425.429	0.808438
128	2154.434	0.835888
256	3647.131	0.849799
512	6676.375	0.855931
1024	12981.773	0.857665
