clusters_to_search	Query Time (microsecs)	Accuracy
4	718.747	0.615659
8	780.568	0.700229
16	886.849	0.765544
32	1094.832	0.814441
64	1499.369	0.844943
128	2305.224	0.866762
256	3953.867	0.877966
512	7271.167	0.883166
1024	13998.718	0.885072
